#Table1
u,g,r,i,z,redshift,class
24.27037,22.63865,21.05836,18.95862,17.81146,0.0001518687,STAR
24.22564,21.13661,19.62566,18.859,18.42587,-0.0003392915,STAR
19.73723,19.23935,18.79191,18.66024,18.61958,1.129553,QSO
18.82219,17.61563,17.08038,16.80011,16.65407,0.03101574,GALAXY
22.20223,20.63912,18.90767,18.13159,17.64032,0.4230697,GALAXY
19.98335,17.82543,16.77948,16.28585,15.89315,0.08767021,GALAXY
25.1095,24.67829,23.33395,22.83453,22.63886,2.616994,QSO
24.37729,22.01767,21.19967,20.66498,20.3449,0.4005225,GALAXY
20.92569,20.84938,20.30203,19.97079,19.68454,0.2643013,GALAXY
18.18402,16.48214,15.80072,15.61333,16.15156,0.0003927546,STAR
24.9058,21.5857,20.51728,18.95226,18.38489,0.000242097,STAR
25.64795,21.54705,19.78847,19.05637,18.63807,0.4045933,GALAXY
19.64422,18.45694,18.03195,17.65956,17.58342,0.09765125,GALAXY
20.28365,18.78819,18.2776,17.89518,17.7027,0.09756941,GALAXY
19.27545,18.16917,17.65645,17.43523,17.34202,0.0006921116,STAR
20.0968,19.93102,19.6668,19.56208,19.51738,1.242289,QSO
19.73231,18.54959,18.10173,17.91755,17.83376,0.0002320375,STAR
21.30334,20.13913,19.48823,19.25032,19.10284,0.2711187,GALAXY
24.92799,22.96651,21.37353,20.09437,19.4394,-0.0001337186,STAR
20.62678,18.50295,17.48383,17.04765,16.81023,0.0002970013,STAR
18.97349,17.54252,17.04639,16.81821,16.66867,0.03877712,GALAXY
20.02345,19.24452,18.5271,18.18248,17.9049,0.2532044,GALAXY
21.96235,21.70985,21.39072,21.04886,21.551,0.4934316,GALAXY
20.92794,19.78006,18.91119,18.56629,18.26939,0.2672658,GALAXY
21.82852,20.77598,19.72641,19.34173,18.99045,0.3216834,GALAXY
20.8536,20.58256,20.12568,20.05822,20.43497,1.170371,QSO
21.83631,20.77466,20.62424,20.61922,20.78885,-0.0002652884,STAR
21.34359,20.45161,19.57194,19.24601,19.0775,0.2508917,GALAXY
23.14064,21.99405,20.13622,19.40749,18.98003,0.4064997,GALAXY
21.31059,20.31276,19.24171,18.77307,18.42386,0.3601471,GALAXY
